country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate
LVA,1996,11077.862,2457222.0,17.61046600341797,51.9543572082749,47.634,
LVA,1997,12215.016,2432851.0,8.44739055633545,51.4654070547482,50.578,
LVA,1998,13138.401,2410019.0,4.644207954406738,50.5855294070601,50.49,
LVA,1999,13619.099,2390482.0,2.364820957183838,49.4331437144465,49.74,
LVA,2000,14554.213,2367550.0,2.654252052307129,48.4932720013146,48.171,
LVA,2001,15695.906,2337170.0,2.4870412349700928,47.7783018808274,48.617,
LVA,2002,17096.559,2310173.0,1.938881754875183,47.1743994332617,49.773,
LVA,2003,18717.668,2287955.0,2.9426443576812744,46.7310337750956,50.035,
LVA,2004,20574.12,2263122.0,6.192381858825684,46.4198949431271,50.499,
LVA,2005,23213.354,2238799.0,6.748446941375732,46.1935033090744,51.46,
LVA,2006,26431.814,2218357.0,6.536197662353516,46.1655186591307,54.804,
LVA,2007,29423.736,2200325.0,10.092982292175293,46.2383093094849,56.556,
LVA,2008,28726.973,2177322.0,15.402318000793457,46.5573852147621,56.753,
LVA,2009,24520.68,2141669.0,3.534107208251953,47.2806969888064,49.552,
LVA,2010,24119.73,2097555.0,-1.0846340656280518,47.9985267565148,47.359,
LVA,2011,25308.732,2059709.0,4.370733261108398,48.624345076556,49.017,
LVA,2012,27496.545,2034319.0,2.2577922344207764,49.3403699742256,50.697,
LVA,2013,28375.184,2012647.0,-0.029452135786414146,50.3815864191996,52.273,
LVA,2014,29243.742,1993782.0,0.6204919219017029,51.7170479665486,52.809,
LVA,2015,30599.613,1977527.0,0.17423799633979797,53.0022445169492,54.108,
LVA,2016,31668.516,1959537.0,0.14063262939453125,54.2757874648074,54.528,
LVA,2017,33036.39,1942248.0,2.894,55.4798446360699,55.489,
LVA,2018,34729.707,1927174.0,2.53,56.3256310462251,56.792,
LVA,2019,35208.195,1913822.0,2.746999979019165,57.1028331214081,57.231,
LVA,2020,34225.9,1900449.0,0.21906490484285218,57.9030936709113,56.58,
LVA,2021,36912.01,1884490.0,3.275814,58.3537176137829,55.563,
LVA,2022,37718.71,1879383.0,17.31029,58.573500587674,56.783,
LVA,2023,37277.723,1883710.0,9.058,58.7910304708067,57.042,
LVA,2024,37611.67,1866124.0,1.2658280691964663,59.106810188639,56.64,
MAC,1990,55300.746,334950.0,1.7997994432449342,43.9388404962549,65.686,-0.474511835224192
MAC,1991,54602.055,351650.0,1.7997994432449342,44.4432578085208,56.525,-2.00166912778094
MAC,1992,58652.79,370900.0,1.7997994432449342,45.392075388861,56.965,-6.52740820485604
MAC,1993,59589.977,384000.0,1.7997994432449342,46.3643328416407,58.933,-2.77214491874846
MAC,1994,60120.66,396800.0,1.7997994432449342,46.9107280374385,60.301,1.12471322180186
MAC,1995,60205.707,409300.0,1.7997994432449342,47.1148523819451,61.021,1.58795129819254
MAC,1996,59115.234,415100.0,1.7997994432449342,47.0312162396704,61.799,7.12787510407958
MAC,1997,58639.523,417300.0,1.7997994432449342,46.5573252322335,63.514,7.9348545916688
MAC,1998,55296.5,422300.0,1.7997994432449342,45.664388971864,62.402,13.184244200743
MAC,1999,53348.01,427400.0,-3.2017953395843506,44.376771351649,61.55,10.770280997789
MAC,2000,55994.76,430600.0,-1.6089531183242798,42.6774111246227,61.016,11.8389008339836
MAC,2001,57173.86,433900.0,-1.9849275350570679,40.6250506399266,60.776,9.60559218756838
MAC,2002,61625.957,438400.0,-2.6376559734344482,38.3606909197641,60.107,7.54058488307433
MAC,2003,67994.78,443600.0,-1.5640347003936768,36.0114548871835,58.002,5.94903262397945
MAC,2004,84004.45,454700.0,0.9826225638389587,33.653136748293,59.629,4.00624936484718
MAC,2005,87185.52,473500.0,4.395016193389893,31.4580319885838,61.254,1.40397652012113
MAC,2006,93828.32,498900.0,5.156373977661133,29.5548030580023,63.333,0.943370630990643
MAC,2007,102879.64,520900.0,5.5738630294799805,27.8966416389627,66.354,-0.872348892685343
MAC,2008,102474.67,540700.0,8.60871696472168,26.5005416104195,67.665,-4.22016587632612
MAC,2009,104911.14,535000.0,1.1681746244430542,25.413454167829,67.463,4.30456168484241
MAC,2010,130758.28,537000.0,2.8074288368225098,24.5517759645225,67.998,0.422339701561774
MAC,2011,155385.33,549600.0,5.801059722900391,24.1388656743388,69.053,-2.07966492969947
MAC,2012,164239.27,567900.0,6.10427713394165,24.5585945210888,69.345,-1.58538824278756
MAC,2013,174569.52,591900.0,5.504122257232666,25.5094922147512,69.569,-2.31351620342181
MAC,2014,162813.44,621700.0,6.047281742095947,26.5812475694649,70.211,-3.19806913215582
MAC,2015,123194.07,642900.0,4.5584940910339355,27.6834071152368,69.524,-3.19806913215582
MAC,2016,120530.055,652500.0,2.372598886489868,28.7304709463712,68.703,-3.19806913215582
MAC,2017,133322.62,648400.0,1.227,29.8365829190003,68.478,-3.19806913215582
MAC,2018,139541.16,658900.0,3.0,31.203429722938,68.819,-3.19806913215582
