country_code,latest_gdp,avg_shock_growth,speed_2008,quality_2008,speed_2020,quality_2020,avg_employment,avg_dependency,avg_inflation,cluster,cluster_name
CMR,4916.9336,-0.5441072504574124,3.0,100.12162359716255,4.0,99.85448622084157,72.26975714285715,89.62600238557867,3.3747289631415023,3.0,Resilient Low-Income
COD,1602.075,0.5838821640630626,1.0,110.51654256079722,1.0,111.79936743447604,66.34551428571429,94.6587889105031,1001.6752433661461,0.0,Resilient Emerging
COG,6181.4707,0.06770474412481053,1.0,115.13859595931017,,88.9459488319471,54.31317142857143,81.75251142658688,3.0894537266214837,,
COL,18477.215,0.7749417117763728,1.0,111.51847862911072,1.0,106.03472815093424,58.640814285714285,53.1645249134391,10.173378122344353,0.0,Resilient Emerging
COM,3482.535,0.24916169926662568,1.0,107.12583642667332,4.0,99.50688432307916,43.16972857142857,91.30150021887319,3.598742843110221,3.0,Resilient Low-Income
CPV,9848.953,-2.691752994231547,1.0,108.25097891634027,3.0,101.2822184395108,50.625414285714285,71.32316557293082,3.4383112745034157,3.0,Resilient Low-Income
CRI,26973.436,0.897941987643533,1.0,108.51737551006352,1.0,111.19139861046432,55.5116,53.00535982583386,9.140027439775226,0.0,Resilient Emerging
CUW,28762.059,-3.113884760554164,,97.65335013583352,4.0,96.3651482767274,,48.97163765850571,2.045365636695476,,
CYM,79675.86,-4.272579131236784,,81.32098411012855,3.0,102.83829335321369,,31.477196055868685,2.021590045089843,,
CYP,52635.582,0.42468459954937465,11.0,94.04188669480654,1.0,113.19865377939628,59.21422857142857,44.81721853608266,2.459222857615,2.0,Struggling Developed
CZE,47963.9,-0.7945808488143635,3.0,100.19974257241056,1.0,99.570369639301,56.86554285714286,47.599645437610974,6.537175047160995,2.0,Struggling Developed
DEU,62554.555,-1.1422929840554792,3.0,105.5175937975991,2.0,100.30230213108722,55.36095714285714,50.528560785326306,2.1048453463733545,2.0,Struggling Developed
DJI,6871.1245,1.302413821874221,,,1.0,112.07328649846858,23.6585,57.281016447594595,2.2479007236464095,,
DMA,18739.363,-0.8503803614957004,1.0,105.5223091451608,3.0,103.73900205874943,,57.32062522446313,1.8979785801168678,,
DNK,71431.29,-0.6271560324895202,8.0,95.47908686172542,1.0,103.3482806201026,60.509685714285716,52.39071506754376,1.9709920041896578,2.0,Struggling Developed
DOM,24229.889,1.4197973032056665,1.0,110.92819798819636,1.0,108.53656472919316,55.49684285714286,60.630165382934265,9.999799720560233,0.0,Resilient Emerging
DZA,15501.92,-1.136934745059337,2.0,103.73575020324591,4.0,99.7376506485638,35.59894285714286,59.66408835355568,8.4225617551756,3.0,Resilient Low-Income
ECU,13935.539,0.6028749276006966,1.0,113.66091770687044,2.0,103.4067292076004,61.997328571428575,61.38977111562897,17.17625591656199,0.0,Resilient Emerging
