country_code,shock,pre_shock_gdp,recovery_speed_years,recovery_quality_pct
FSM,covid_2020,3940.2644,1.0,96.81381279895837
GAB,covid_2020,19491.406,,95.94701377622528
GBR,covid_2020,52515.684,2.0,100.14662286413332
GEO,covid_2020,18186.88,1.0,124.21333400781221
GHA,covid_2020,6508.2466,1.0,104.61400771138571
GIN,covid_2020,3557.4624,1.0,109.76430840140435
GMB,covid_2020,2750.8213,1.0,107.73504625691244
GNB,covid_2020,2442.1067,1.0,110.3054424280479
GNQ,covid_2020,18446.592,,85.04680973049113
GRC,covid_2020,33502.75,1.0,109.54476871301611
GRD,covid_2020,17036.916,3.0,100.33010669301885
GRL,covid_2020,68534.945,1.0,103.65156052872004
GTM,covid_2020,11466.377,1.0,108.01099597545065
GUY,covid_2020,13402.422,1.0,367.9361834748973
HKG,covid_2020,65388.332,1.0,98.54137279415538
HND,covid_2020,6264.019,2.0,103.25447607997359
HRV,covid_2020,35122.85,1.0,117.64478964548721
HTI,covid_2020,3392.4326,,87.42830439726349
HUN,covid_2020,37662.676,1.0,107.0907813348154
IDN,covid_2020,12757.785,2.0,108.87450290156168
IND,covid_2020,7930.0913,1.0,117.29695974622636
IRL,covid_2020,96371.29,1.0,122.30003873560268
IRN,covid_2020,14841.075,1.0,114.84893109158196
IRQ,covid_2020,14910.225,,88.54543107163038
ISL,covid_2020,64826.434,2.0,105.07812291510588
ISR,covid_2020,44580.81,1.0,106.60899162666628
ITA,covid_2020,49690.63,1.0,106.39898105538208
JAM,covid_2020,10816.372,2.0,105.38480462765149
JOR,covid_2020,9288.527,3.0,100.9993780499319
JPN,covid_2020,44730.91,2.0,102.5211872506059
KAZ,covid_2020,33298.21,2.0,104.21951810622853
KEN,covid_2020,5171.7124,1.0,110.05687400560014
KGZ,covid_2020,6087.602,2.0,108.01914119878404
KHM,covid_2020,6448.885,2.0,103.82092408222508
KIR,covid_2020,2927.4846,1.0,107.27924239123239
KNA,covid_2020,31512.193,,97.15787790459395
KOR,covid_2020,49790.867,1.0,108.51255914061508
KWT,covid_2020,51380.645,,92.98715888054736
LAO,covid_2020,8075.275,1.0,103.6764196884936
LBN,covid_2020,15659.566,,72.3536590988537
LBR,covid_2020,1575.7666,2.0,102.6118779265914
LBY,covid_2020,14337.196,,87.0225809844547
LCA,covid_2020,22738.248,2.0,102.92676902811509
LKA,covid_2020,14637.444,,88.98370507856427
LSO,covid_2020,2773.2864,,93.60120902046035
LTU,covid_2020,43062.324,1.0,107.19279108113162
LUX,covid_2020,132724.75,1.0,97.98392537940362
LVA,covid_2020,35208.195,1.0,105.87797244363138
MAC,covid_2020,133453.89,,78.54038574671746
MAR,covid_2020,8768.176,3.0,101.67852470114653
MDA,covid_2020,14621.24,1.0,109.36472898331469
MDG,covid_2020,1707.8315,,95.41110466694167
MDV,covid_2020,21855.502,3.0,102.18501043810386
MEX,covid_2020,21704.186,3.0,100.98166316857034
MHL,covid_2020,6405.0757,1.0,106.19101191887552
MKD,covid_2020,21766.975,1.0,107.75645214826591
MLI,covid_2020,2916.1716,4.0,98.08847325719789
MLT,covid_2020,53391.438,1.0,113.16120573489702
MMR,covid_2020,6562.989,,81.73315542658993
MNE,covid_2020,24585.219,2.0,110.81259028036317
MNG,covid_2020,15790.696,3.0,102.73685213115368
MOZ,covid_2020,1528.8899,,98.91336191049467
MRT,covid_2020,6162.2104,3.0,101.85427943193889
MUS,covid_2020,26047.975,3.0,102.25367614948955
MWI,covid_2020,1687.2894,1.0,97.74841826185835
MYS,covid_2020,31300.508,2.0,104.9748713343566
NAM,covid_2020,10813.305,,93.75184552733877
NER,covid_2020,1612.6373,2.0,104.77025429090597
NGA,covid_2020,8361.787,,93.80571999741203
NIC,covid_2020,6756.5938,1.0,110.95130951930247
NLD,covid_2020,67847.85,1.0,103.46522402699567
NOR,covid_2020,87725.73,1.0,102.68987217319253
NPL,covid_2020,4607.5244,2.0,105.50634305919246
NRU,covid_2020,11183.096,1.0,110.63591424056452
NZL,covid_2020,47362.32,1.0,104.53092247170324
OMN,covid_2020,38292.387,1.0,98.6974695518459
OWID_EU27,covid_2020,51662.36,1.0,104.27189930928435
OWID_HIC,covid_2020,54610.215,1.0,105.35985987237004
OWID_KOS,covid_2020,11774.118,1.0,120.94496589893187
OWID_LIC,covid_2020,2434.319,,92.22820427396739
OWID_LMC,covid_2020,7843.6367,2.0,110.27726462649652
OWID_UMC,covid_2020,18493.598,1.0,113.28344003151794
OWID_WRL,covid_2020,19552.084,1.0,106.98759784378996
PAK,covid_2020,5295.953,1.0,102.31906325452663
PAN,covid_2020,33163.727,2.0,108.1692356230046
PER,covid_2020,15463.543,2.0,99.12076423882937
PHL,covid_2020,9452.294,2.0,104.72095980086951
PLW,covid_2020,19519.018,,84.15368539544357
PNG,covid_2020,4301.6113,,97.77377374845562
POL,covid_2020,38181.62,1.0,114.3816475047418
PRI,covid_2020,41656.33,2.0,102.83647167189235
PRT,covid_2020,40188.285,2.0,103.93141682955618
PRY,covid_2020,15321.324,1.0,103.2945194553682
PSE,covid_2020,6269.891,,85.50596812608066
QAT,covid_2020,113160.836,1.0,103.00736024961851
ROU,covid_2020,36399.625,1.0,110.21227553855294
RUS,covid_2020,37319.32,1.0,106.8812079105407
RWA,covid_2020,2667.4646,1.0,114.82810306086162
SAU,covid_2020,62647.73,1.0,102.92766234307291
SDN,covid_2020,3625.5232,,60.159013739037725
SEN,covid_2020,4070.6123,1.0,105.75219113841916
SGP,covid_2020,120114.13,1.0,107.86011604130172
SLB,covid_2020,2661.6167,,87.90052301670634
SLE,covid_2020,2852.6626,2.0,106.38993899944565
SLV,covid_2020,10543.938,1.0,108.35273784804123
SMR,covid_2020,60171.047,1.0,117.91682800533619
SOM,covid_2020,1491.2949,,93.9886068141184
SRB,covid_2020,21541.215,1.0,119.46976992709094
STP,covid_2020,5702.0835,1.0,97.18030260342557
SUR,covid_2020,22966.74,,82.81918548300715
SVK,covid_2020,37209.535,1.0,106.20456020210946
SVN,covid_2020,44569.586,1.0,107.6461109600614
SWE,covid_2020,61601.63,1.0,101.72257779542522
SWZ,covid_2020,10099.586,3.0,100.8111025541047
SXM,covid_2020,45996.793,3.0,101.24855878539182
SYC,covid_2020,34346.07,,83.37301764073736
SYR,covid_2020,4825.4062,,
TCA,covid_2020,30611.213,3.0,104.01211804314974
TCD,covid_2020,2604.5315,,93.41791028444078
TGO,covid_2020,2577.516,1.0,110.27014769258466
THA,covid_2020,21277.84,4.0,99.5940048425968
TJK,covid_2020,3649.8838,1.0,122.53332558148837
TKM,covid_2020,15231.306,1.0,117.30053877192145
TLS,covid_2020,5103.1494,1.0,84.8706878932449
TON,covid_2020,6858.839,1.0,102.50158955473367
TTO,covid_2020,33748.707,,92.43792362178496
TUN,covid_2020,13243.902,,95.5229206619016
TUR,covid_2020,28741.053,1.0,122.01769364539288
TUV,covid_2020,5292.0303,1.0,109.83307106159236
TZA,covid_2020,3484.6326,1.0,103.90746789202399
