country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate,is_shock,shock_label,gdp_growth_rate,recovery_speed_covid_2020,recovery_speed_recession_2008,recovery_quality_covid_2020,recovery_quality_recession_2008,gdp_lag_1,growth_lag_1,gdp_lag_2,growth_lag_2,gdp_lag_3,growth_lag_3,gdp_rolling_mean_3yr,gdp_rolling_std_3yr,growth_rolling_mean_3yr,gdp_rolling_mean_5yr,gdp_rolling_std_5yr,growth_rolling_mean_5yr,pre_shock_baseline_2008,pre_shock_baseline_2020,gdp_dev_from_2008_baseline,gdp_dev_from_2020_baseline
KAZ,2020,32011.549,19482117.0,6.7490018381599794,58.3765163228774,65.816,,1,covid_2020,-3.8640545542838467,2.0,1.0,104.21951810622853,114.76228049159994,33298.21,2.9940495004875833,32330.227,2.5560675286835366,31524.441,2.490769815076388,32546.661999999997,670.0800057821517,0.5620208249624246,31984.5498,943.5649858111693,0.7476866158498542,22497.073333333334,32384.292666666664,42.29205961901414,-1.1510014144923182
KAZ,2021,32945.85,19743603.0,8.002,59.3848303180197,65.498,,1,covid_2020,2.918637270567559,2.0,1.0,104.21951810622853,114.76228049159994,32011.549,-3.8640545542838467,33298.21,2.9940495004875833,32330.227,2.5560675286835366,32751.869666666666,664.9025564098422,0.6828774055904319,32422.0554,711.4540105772371,1.419093912106244,22497.073333333334,32384.292666666664,46.445048704112914,1.7340422998071168
KAZ,2022,33506.26,20034609.0,14.35558032491703,60.2870919049799,66.784,,0,none,1.7010033130121283,2.0,1.0,104.21951810622853,114.76228049159994,32945.85,2.918637270567559,32011.549,-3.8640545542838467,33298.21,2.9940495004875833,32821.219666666664,755.1091201742602,0.25186200976528017,32818.419200000004,634.218797121182,1.261140611693392,22497.073333333334,32384.292666666664,48.936083834312086,3.464541729787987
KAZ,2023,34703.234,20330104.0,14.522,60.893935746271,66.997,,0,none,3.57238915951823,2.0,1.0,104.21951810622853,114.76228049159994,33506.26,1.7010033130121283,32945.85,2.918637270567559,32011.549,-3.8640545542838467,33718.448,897.7011982681194,2.730676581032639,33293.0206,974.2813623686645,1.4644049378603308,22497.073333333334,32384.292666666664,54.25666034782004,7.160697802488154
KAZ,2024,35973.965,20592571.0,4.85655589318191,61.3593284528818,67.176,,0,none,3.6617077244155416,2.0,1.0,104.21951810622853,114.76228049159994,34703.234,3.57238915951823,33506.26,1.7010033130121283,32945.85,2.918637270567559,34727.81966666667,1234.0361959887375,2.9783667323153,33828.1716,1545.3478309307723,1.5979365826459224,22497.073333333334,32384.292666666664,59.90508839520161,11.084609351459457
KEN,1990,4177.486,22892651.0,15.67405128479004,105.564144928838,70.91,7.33279706635565,0,none,,1.0,2.0,110.05687400560014,104.6315381866564,,,,,,,4177.486,,,4177.486,,,3977.306666666667,5012.0809,,
KEN,1991,4102.4766,23646514.0,18.98607444763184,104.486357019746,70.91,5.74551264802526,0,none,-1.7955631688532314,1.0,2.0,110.05687400560014,104.6315381866564,4177.486,,,,,,4139.9812999999995,53.039655392733835,-1.7955631688532314,4139.9812999999995,53.039655392733835,-1.7955631688532314,3977.306666666667,5012.0809,,
KEN,1992,3946.8408,24382460.0,27.3446044921875,103.387893568628,70.77,1.82532918773243,0,none,-3.793703539954374,1.0,2.0,110.05687400560014,104.6315381866564,4102.4766,-1.7955631688532314,4177.486,,,,4075.6011333333336,117.64786484323999,-2.7946333544038024,4075.6011333333336,117.64786484323999,-2.7946333544038024,3977.306666666667,5012.0809,,
KEN,1993,3844.9204,25117188.0,46.059417724609375,102.189501745126,70.644,3.41347240700279,0,none,-2.582328631040809,1.0,2.0,110.05687400560014,104.6315381866564,3946.8408,-3.793703539954374,4102.4766,-1.7955631688532314,4177.486,,3964.745933333333,129.70830501310718,-2.723865113282805,4017.93095,150.10245473536824,-2.723865113282805,3977.306666666667,5012.0809,,
KEN,1994,3833.2236,25857130.0,28.71512794494629,100.911599651404,70.592,16.4281098918437,0,none,-0.304214360328503,1.0,2.0,110.05687400560014,104.6315381866564,3844.9204,-2.582328631040809,3946.8408,-3.793703539954374,4102.4766,-1.7955631688532314,3874.9949333333334,62.49460136982382,-2.226748843774562,3980.98948,154.0176003481159,-2.1189524250442293,3977.306666666667,5012.0809,,
KEN,1995,3890.0986,26601751.0,1.5553232431411743,99.66540232745,70.601,15.8016483365158,0,none,1.4837381257905236,1.0,2.0,110.05687400560014,104.6315381866564,3833.2236,-0.304214360328503,3844.9204,-2.582328631040809,3946.8408,-3.793703539954374,3856.0808666666667,30.035119750271626,-0.46760162185959614,3923.5119999999997,109.56465103681903,-1.3984143148772787,3977.306666666667,5012.0809,,
KEN,1996,3941.4092,27344211.0,8.841565132141113,98.5025096101725,70.59,-5.77658854011697,0,none,1.3190051275307146,1.0,2.0,110.05687400560014,104.6315381866564,3890.0986,1.4837381257905236,3833.2236,-0.304214360328503,3844.9204,-2.582328631040809,3888.2438,54.11664461253914,0.8328429643309118,3891.2985200000003,52.72829238987279,-0.7755006556004895,3977.306666666667,5012.0809,,
KEN,1997,3853.3713,28101768.0,11.27734088897705,97.3253910062077,70.49,16.8795684948995,0,none,-2.2336655630681546,1.0,2.0,110.05687400560014,104.6315381866564,3941.4092,1.3190051275307146,3890.0986,1.4837381257905236,3833.2236,-0.304214360328503,3894.9597,44.219799626523276,0.18969256341769455,3872.6046199999996,43.95256231634188,-0.46349306022324566,3977.306666666667,5012.0809,,
KEN,1998,3871.8218,28888057.0,5.402303695678711,96.1682417770167,70.406,21.0963260259133,0,none,0.4788144864212862,1.0,2.0,110.05687400560014,104.6315381866564,3853.3713,-2.2336655630681546,3941.4092,1.3190051275307146,3890.0986,1.4837381257905236,3888.8674333333333,46.428258322956694,-0.1452819830387179,3877.9849000000004,41.281868424405346,0.14873556326917337,3977.306666666667,5012.0809,,
KEN,1999,3848.4646,29733408.0,5.788454055786133,94.8755633080297,70.303,17.4540487833673,0,none,-0.6032612348016775,1.0,2.0,110.05687400560014,104.6315381866564,3871.8218,0.4788144864212862,3853.3713,-2.2336655630681546,3941.4092,1.3190051275307146,3857.8858999999998,12.315677319168067,-0.7860374371495152,3881.0330999999996,37.543931469145804,0.08892618837453847,3977.306666666667,5012.0809,,
KEN,2000,3756.6362,30642890.0,9.978493690490724,93.443539036463,70.421,15.3274334465867,0,none,-2.3861048377578964,1.0,2.0,110.05687400560014,104.6315381866564,3848.4646,-0.6032612348016775,3871.8218,0.4788144864212862,3853.3713,-2.2336655630681546,3825.6408666666666,60.89025138963745,-0.8368505287127626,3854.34062,66.08356481994555,-0.6850424043351455,3977.306666666667,5012.0809,,
KEN,2001,3778.2585,31619170.0,5.779124736785889,91.9471681010166,70.544,17.8125009681692,0,none,0.5755760965088896,1.0,2.0,110.05687400560014,104.6315381866564,3756.6362,-2.3861048377578964,3848.4646,-0.6032612348016775,3871.8218,0.4788144864212862,3794.4531,48.00846345708157,-0.8045966586835614,3821.71048,50.87256464841323,-0.8337282105395104,3977.306666666667,5012.0809,,
KEN,2002,3681.2568,32629808.0,1.9938691854476929,90.529323120014,70.632,17.3581406445428,0,none,-2.567365361581264,1.0,2.0,110.05687400560014,104.6315381866564,3778.2585,0.5755760965088896,3756.6362,-2.3861048377578964,3848.4646,-0.6032612348016775,3738.717166666667,50.92299350414613,-1.459298034276757,3787.28758,76.07926757016024,-0.9004681702421324,3977.306666666667,5012.0809,,
KEN,2003,3674.086,33652223.0,9.82248306274414,89.2589452128438,70.782,9.77051092711816,0,none,-0.19479216989155557,1.0,2.0,110.05687400560014,104.6315381866564,3681.2568,-2.567365361581264,3778.2585,0.5755760965088896,3756.6362,-2.3861048377578964,3711.2004333333334,58.184562574306064,-0.7288604783213101,3747.7404199999996,72.45842576817478,-1.0351895015047008,3977.306666666667,5012.0809,,
KEN,2004,3743.5679,34713455.0,11.812907218933104,88.0596805503126,70.917,5.04525759665483,0,none,1.8911342848262125,1.0,2.0,110.05687400560014,104.6315381866564,3674.086,-0.19479216989155557,3681.2568,-2.567365361581264,3778.2585,0.5755760965088896,3699.6369,38.21393285059809,-0.29034108221553573,3726.76108,46.562538084571116,-0.5363103975791228,3977.306666666667,5012.0809,,
KEN,2005,3844.7356,35796484.0,9.905139923095703,87.0486694098986,71.11,7.6099875458817,0,none,2.7024406315696803,1.0,2.0,110.05687400560014,104.6315381866564,3743.5679,1.8911342848262125,3674.086,-0.19479216989155557,3681.2568,-2.567365361581264,3754.129833333333,85.81367794147619,1.4662609155014457,3744.38096,70.96732263805009,0.48139869628639254,3977.306666666667,5012.0809,,
KEN,2006,3970.7334,36904008.0,6.028195381164551,86.2372874684245,71.274,-8.00986697136361,0,none,3.2771512298531036,1.0,2.0,110.05687400560014,104.6315381866564,3844.7356,2.7024406315696803,3743.5679,1.8911342848262125,3674.086,-0.19479216989155557,3853.0123000000003,113.80869439427786,2.623575382082999,3782.8759400000004,125.32344700928087,1.0217137229552353,3977.306666666667,5012.0809,,
KEN,2007,4116.451,38036349.0,4.253263473510742,85.6322010455064,71.413,4.8190907881851,0,none,3.6697905731973846,1.0,2.0,110.05687400560014,104.6315381866564,3970.7334,3.2771512298531036,3844.7356,2.7024406315696803,3743.5679,1.8911342848262125,3977.306666666667,135.97691173612367,3.216460811540056,3869.9147800000005,177.40556514529598,2.269144909910965,3977.306666666667,5012.0809,,
KEN,2008,4002.8835,39206351.0,15.104095458984377,85.1410633733896,71.448,-0.984996972294316,1,recession_2008,-2.758869229829286,1.0,2.0,110.05687400560014,104.6315381866564,4116.451,3.6697905731973846,3970.7334,3.2771512298531036,3844.7356,2.7024406315696803,4030.0226333333335,76.55588910073219,1.396024191073734,3935.67428,144.56931589983628,1.7563294979234185,3977.306666666667,5012.0809,0.643069179142998,
KEN,2009,4012.1943,40408891.0,10.52043342590332,84.6712694841881,71.515,-10.0960035655484,1,recession_2008,0.23260232280055693,1.0,2.0,110.05687400560014,104.6315381866564,4002.8835,-2.758869229829286,4116.451,3.6697905731973846,3970.7334,3.2771512298531036,4043.8429333333333,63.0525277682316,0.3811745553895518,3989.3995600000003,97.62117094627838,1.4246231055182879,3977.306666666667,5012.0809,0.8771672957914552,
KEN,2010,4211.5244,41598567.0,4.0787458419799805,84.2201054386438,71.646,12.526958492458,0,none,4.968106853648635,1.0,2.0,110.05687400560014,104.6315381866564,4012.1943,0.23260232280055693,4002.8835,-2.758869229829286,4116.451,3.6697905731973846,4075.534066666667,117.86305960411707,0.8139466488733019,4062.7573199999997,99.52958169401839,1.8777563499340786,3977.306666666667,5012.0809,5.888852757980277,
KEN,2011,4307.106,42758461.0,14.03341007232666,83.6955084873518,71.83,4.52618583226899,0,none,2.2695250204415096,1.0,2.0,110.05687400560014,104.6315381866564,4211.5244,4.968106853648635,4012.1943,0.23260232280055693,4002.8835,-2.758869229829286,4176.941566666667,150.4666307532792,2.4900780656302337,4130.031840000001,130.6073513323121,1.6762311080517598,3977.306666666667,5012.0809,8.292026765181117,
KEN,2012,4387.938,43888303.0,9.367690086364746,83.0105706556118,71.96,9.31351134458285,0,none,1.8767125768439419,1.0,2.0,110.05687400560014,104.6315381866564,4307.106,2.2695250204415096,4211.5244,4.968106853648635,4012.1943,0.23260232280055693,4302.189466666667,88.30950566758881,3.038114816978029,4184.32924,173.0774615636068,1.3176155087810715,3977.306666666667,5012.0809,10.324356851202486,
KEN,2013,4443.371,44986791.0,5.734951972961426,82.1267476397034,72.011,9.29394635969952,0,none,1.2633040849711286,1.0,2.0,110.05687400560014,104.6315381866564,4387.938,1.8767125768439419,4307.106,2.2695250204415096,4211.5244,4.968106853648635,4379.471666666666,68.52588311239836,1.8031805607521934,4272.42674,169.70375668625124,2.1220501717411544,3977.306666666667,5012.0809,11.718088958021841,
KEN,2014,4558.552,46051440.0,6.88453483581543,81.121499936462,72.121,8.24907899217325,0,none,2.592198580762206,1.0,2.0,110.05687400560014,104.6315381866564,4443.371,1.2633040849711286,4387.938,1.8767125768439419,4307.106,2.2695250204415096,4463.287,87.03315196521831,1.9107384141924255,4381.69828,131.9496631727031,2.5939694233334842,3977.306666666667,5012.0809,14.614043674446345,
KEN,2015,4679.622,47088526.0,6.590771675109863,79.9924124841202,72.237,8.24907899217325,0,none,2.6558872203278794,1.0,2.0,110.05687400560014,104.6315381866564,4558.552,2.592198580762206,4443.371,1.2633040849711286,4387.938,1.8767125768439419,4560.514999999999,118.13773223234388,2.170463295353738,4475.3178,146.30377244349273,2.131525496669333,3977.306666666667,5012.0809,17.658063413096972,
KEN,2016,4770.3105,48139687.0,6.3273210525512695,78.6364414112252,72.354,8.24907899217325,0,none,1.9379449878643928,1.0,2.0,110.05687400560014,104.6315381866564,4679.622,2.6558872203278794,4558.552,2.592198580762206,4443.371,1.2633040849711286,4669.494833333333,106.2418712612141,2.3953435963181593,4567.9587,159.24272114824143,2.0652094901539093,3977.306666666667,5012.0809,19.93821195582939,
KEN,2017,4846.8623,49197766.0,7.985,77.1603826189851,69.745,8.24907899217325,0,none,1.6047550783119924,1.0,2.0,110.05687400560014,104.6315381866564,4770.3105,1.9379449878643928,4679.622,2.6558872203278794,4558.552,2.592198580762206,4765.598266666667,83.71967118464111,2.066195762168088,4659.74356,161.7795104402562,2.01081799044752,3977.306666666667,5012.0809,21.862926503027165,
KEN,2018,5017.668,50207107.0,4.69,75.7364230190387,67.099,8.24907899217325,0,none,3.5240468869932595,1.0,2.0,110.05687400560014,104.6315381866564,4846.8623,1.6047550783119924,4770.3105,1.9379449878643928,4679.622,2.6558872203278794,4878.280266666667,126.63628892882456,2.355582317723215,4774.60296,173.2194065193855,2.462966550851946,3977.306666666667,5012.0809,26.157433170855978,
KEN,2019,5171.7124,51202827.0,5.203999996185303,74.2639405667526,64.404,8.24907899217325,0,none,3.070039707688932,1.0,2.0,110.05687400560014,104.6315381866564,5017.668,3.5240468869932595,4846.8623,1.6047550783119924,4770.3105,1.9379449878643928,5012.0809,162.49710345822044,2.732947224331395,4897.2350400000005,197.38579354545047,2.558534776237291,3977.306666666667,5012.0809,30.030516463402375,
KEN,2020,5057.4014,52217334.0,5.404814671845429,72.6322381007686,63.316,8.24907899217325,1,covid_2020,-2.2103123909210542,1.0,2.0,110.05687400560014,104.6315381866564,5171.7124,3.070039707688932,5017.668,3.5240468869932595,4846.8623,1.6047550783119924,5082.2606000000005,79.97439691127127,1.4612580679203788,4972.7909199999995,162.47998235090563,1.5852948539875045,3977.306666666667,5012.0809,27.15643584603315,0.9042252290859834
KEN,2021,5338.8525,53219166.0,6.11090916378165,70.9579167427054,63.621,8.24907899217325,1,covid_2020,5.565132718158394,1.0,2.0,110.05687400560014,104.6315381866564,5057.4014,-2.2103123909210542,5171.7124,3.070039707688932,5017.668,3.5240468869932595,5189.3221,141.5494845394064,2.141620011642091,5086.49932,182.99845448453829,2.3107324000463043,3977.306666666667,5012.0809,34.23286026054482,6.519679281314075
KEN,2022,5491.694,54252461.0,7.65687456104604,69.3054789511188,63.747,8.24907899217325,0,none,2.862815558212195,1.0,2.0,110.05687400560014,104.6315381866564,5338.8525,5.565132718158394,5057.4014,-2.2103123909210542,5171.7124,3.070039707688932,5295.982633333333,220.2972644058597,2.0725452951498453,5215.46566,198.46220071827125,2.5623444960263453,3977.306666666667,5012.0809,38.07569946831692,9.56914123233726
KEN,2023,5691.825,55339003.0,7.675,67.6739373442667,63.814,8.24907899217325,0,none,3.6442489330250183,1.0,2.0,110.05687400560014,104.6315381866564,5491.694,2.862815558212195,5338.8525,5.565132718158394,5057.4014,-2.2103123909210542,5507.457166666667,177.0134303000343,4.024065736465203,5350.29706,252.2130819514084,2.586384905232697,3977.306666666667,5012.0809,43.1075216729579,13.562113492621396
KEN,2024,5845.201,56432944.0,4.48978854243448,66.1190997974295,63.719,8.24907899217325,0,none,2.694671744124255,1.0,2.0,110.05687400560014,104.6315381866564,5691.825,3.6442489330250183,5491.694,2.862815558212195,5338.8525,5.565132718158394,5676.240000000001,177.26807081649454,3.0672454117871566,5484.99478,306.90625808376797,2.5113113125197617,3977.306666666667,5012.0809,46.96379962319559,16.62223967693738
KGZ,1990,6095.681,4391236.0,-71.33049774169922,73.5339912332699,59.942,20.1214953035123,0,none,,2.0,1.0,108.01914119878404,111.71687272263027,,,,,,,6095.681,,,6095.681,,,4318.613966666667,5966.8842,,
KGZ,1991,5520.4297,4463634.0,-71.33049774169922,74.0165157672479,59.942,20.1214953035123,0,none,-9.437030907621313,2.0,1.0,108.01914119878404,111.71687272263027,6095.681,,,,,,5808.05535,406.76409511637695,-9.437030907621313,5808.05535,406.76409511637695,-9.437030907621313,4318.613966666667,5966.8842,,
