country_code,year,gdp_per_capita,population,inflation_hcpi,dependency_ratio,employment_rate,interest_rate,is_shock,shock_label,gdp_growth_rate,recovery_speed_covid_2020,recovery_speed_recession_2008,recovery_quality_covid_2020,recovery_quality_recession_2008,gdp_lag_1,gdp_lag_2,growth_lag_1,gdp_rolling_mean_3yr,pre_shock_baseline_2008,pre_shock_baseline_2020,gdp_dev_from_2008_baseline,gdp_dev_from_2020_baseline,world_gdp_growth,pct_countries_contracting,cluster_name
JOR,1996,7731.4785,4912516.0,6.5722527503967285,74.9064765209515,34.06,5.4250215277204905,0,none,-1.246666115729289,3.0,1.0,100.9993780499319,108.0311752256234,7829.081,7680.1406,1.939292621804345,7746.900033333334,9992.949666666667,9313.289666666666,,,2.6125,19.4,Resilient Low-Income
JOR,1997,7775.5425,5046285.0,3.0201640129089355,74.9878285257744,34.037,10.9579526795186,0,none,0.5699298006196285,3.0,1.0,100.9993780499319,108.0311752256234,7731.4785,7829.081,-1.246666115729289,7778.700666666667,9992.949666666667,9313.289666666666,,,2.7406,19.7,Resilient Low-Income
JOR,1998,7826.74,5164284.0,3.097229242324829,75.0725812903672,33.988,6.23065063805359,0,none,0.6584428031870537,3.0,1.0,100.9993780499319,108.0311752256234,7775.5425,7731.4785,0.5699298006196285,7777.920333333333,9992.949666666667,9313.289666666666,,,2.0802,23.15,Resilient Low-Income
JOR,1999,7920.0195,5276444.0,0.5985755920410156,74.9607067870819,34.004,12.7466134218609,0,none,1.191805272693358,3.0,1.0,100.9993780499319,108.0311752256234,7826.74,7775.5425,0.6584428031870537,7840.767333333333,9992.949666666667,9313.289666666666,,,1.835,28.57,Resilient Low-Income
JOR,2000,8086.922,5386945.0,0.6785883903503418,74.6577652007628,34.002,12.263792349828,0,none,2.1073496094296207,3.0,1.0,100.9993780499319,108.0311752256234,7920.0195,7826.74,1.191805272693358,7944.5605,9992.949666666667,9313.289666666666,,,3.0891,19.02,Resilient Low-Income
JOR,2001,8339.786,5498894.0,1.7779788970947266,74.1750913098606,33.096,10.0838838062209,0,none,3.1268262510754985,3.0,1.0,100.9993780499319,108.0311752256234,8086.922,7920.0195,2.1073496094296207,8115.575833333333,9992.949666666667,9313.289666666666,,,1.6986,26.83,Resilient Low-Income
JOR,2002,8638.08,5616066.0,1.839424729347229,73.5852701497681,32.525,9.16988049807548,0,none,3.576758444401329,3.0,1.0,100.9993780499319,108.0311752256234,8339.786,8086.922,3.1268262510754985,8354.929333333333,9992.949666666667,9313.289666666666,,,1.713,23.79,Resilient Low-Income
JOR,2003,8800.497,5741828.0,2.347707748413086,72.9213352868632,31.977,6.99911416680844,0,none,1.8802442209379768,3.0,1.0,100.9993780499319,108.0311752256234,8638.08,8339.786,3.576758444401329,8592.787666666665,9992.949666666667,9313.289666666666,,,2.7913,20.87,Resilient Low-Income
JOR,2004,9326.668,5882061.0,2.6337289810180664,72.0805558009737,32.313,5.00662804674494,0,none,5.978878238354035,3.0,1.0,100.9993780499319,108.0311752256234,8800.497,8638.08,1.8802442209379768,8921.748333333333,9992.949666666667,9313.289666666666,,,3.6944,12.14,Resilient Low-Income
JOR,2005,9839.688,6029587.0,3.452634811401367,71.1118691378464,32.632,5.4900361978485,0,none,5.500571050668901,3.0,1.0,100.9993780499319,108.0311752256234,9326.668,8800.497,5.978878238354035,9322.284333333337,9992.949666666667,9313.289666666666,,,3.2316,12.62,Resilient Low-Income
JOR,2006,9977.759,6427371.0,6.234808921813965,69.9743056631736,32.422,-2.23328555079655,0,none,1.403205060973467,3.0,1.0,100.9993780499319,108.0311752256234,9839.688,9326.668,5.500571050668901,9714.705,9992.949666666667,9313.289666666666,,,3.7009,8.7,Resilient Low-Income
JOR,2007,10161.402,6827227.0,4.714372634887695,68.7451509325163,34.586,3.4533894775559,0,none,1.8405235083348792,3.0,1.0,100.9993780499319,108.0311752256234,9977.759,9839.688,1.403205060973467,9992.949666666667,9992.949666666667,9313.289666666666,,,3.7619,10.58,Resilient Low-Income
JOR,2008,10641.59,6989866.0,13.96914768218994,67.5290383241406,34.483,-11.8076616278916,1,recession_2008,4.725607745860261,3.0,1.0,100.9993780499319,108.0311752256234,10161.402,9977.759,1.8405235083348792,10260.250333333332,9992.949666666667,9313.289666666666,6.490979690381036,,2.0455,24.76,Resilient Low-Income
JOR,2009,10938.503,7141753.0,-0.7322741150856018,66.3429597590715,34.927,5.89858086102656,1,recession_2008,2.7901187698454954,3.0,1.0,100.9993780499319,108.0311752256234,10641.59,10161.402,4.725607745860261,10580.498333333337,9992.949666666667,9313.289666666666,9.462204502914703,,-1.4188,63.03,Resilient Low-Income
JOR,2010,10953.538,7297043.0,4.858713150024414,65.1507679340976,34.563,0.875955637487539,0,none,0.1374502525619769,3.0,1.0,100.9993780499319,108.0311752256234,10938.503,10641.59,2.7901187698454954,10844.543666666666,9992.949666666667,9313.289666666666,9.612660579463872,,2.9074,18.48,Resilient Low-Income
JOR,2011,10977.482,7480424.0,4.182639122009277,64.0154314863275,33.969,2.64640624425562,0,none,0.2185960371890782,3.0,1.0,100.9993780499319,108.0311752256234,10953.538,10938.503,0.1374502525619769,10956.507666666666,9992.949666666667,9313.289666666666,9.852269511748093,,2.7469,18.01,Resilient Low-Income
JOR,2012,11086.03,7587127.0,4.522759437561035,62.9972385245377,33.364,3.99019709985347,0,none,0.9888242130572378,3.0,1.0,100.9993780499319,108.0311752256234,10977.482,10953.538,0.2185960371890782,11005.683333333334,9992.949666666667,9313.289666666666,10.938515351273155,,1.5288,28.44,Resilient Low-Income
JOR,2013,10799.354,7991809.0,4.828426837921143,62.3084954646161,32.425,2.70046942578587,0,none,-2.585921199924601,3.0,1.0,100.9993780499319,108.0311752256234,11086.03,10977.482,0.9888242130572378,10954.288666666664,9992.949666666667,9313.289666666666,8.069732763922978,,1.6887,25.0,Resilient Low-Income
JOR,2014,10148.998,8791710.0,2.906883478164673,62.0603171156438,32.068,5.36000685759248,0,none,-6.022175030099019,3.0,1.0,100.9993780499319,108.0311752256234,10799.354,11086.03,-2.585921199924601,10678.127333333334,9992.949666666667,9313.289666666666,1.5615843023192677,,1.78,18.87,Resilient Low-Income
JOR,2015,9581.689,9544729.0,-0.8720545172691345,61.6234808949505,32.735,5.36000685759248,0,none,-5.58980305247867,3.0,1.0,100.9993780499319,108.0311752256234,10148.998,10799.354,-6.022175030099019,10176.680333333332,9992.949666666667,9313.289666666666,-4.115508237157474,,1.6021,23.11,Resilient Low-Income
JOR,2016,9321.904,10006367.0,-0.7773623466491699,60.9582989168769,32.987,5.36000685759248,0,none,-2.711265205956903,3.0,1.0,100.9993780499319,108.0311752256234,9581.689,10148.998,-5.58980305247867,9684.197,9992.949666666667,9313.289666666666,-6.715191100232035,,2.0006,21.7,Resilient Low-Income
JOR,2017,9339.811,10234226.0,3.324,60.338812839042,32.937,5.36000685759248,0,none,0.1920959494970064,3.0,1.0,100.9993780499319,108.0311752256234,9321.904,9581.689,-2.711265205956903,9414.468,9992.949666666667,9313.289666666666,-6.53599476083956,,2.2077,18.4,Resilient Low-Income
JOR,2018,9311.531,10462306.0,4.46,59.6400832936228,32.024,5.36000685759248,0,none,-0.3027898530280626,3.0,1.0,100.9993780499319,108.0311752256234,9339.811,9321.904,0.1920959494970064,9324.415333333334,9992.949666666667,9313.289666666666,-6.818994284937355,,2.0652,20.28,Resilient Low-Income
