Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Real interest rate (%),FR.INR.RINR,United Kingdom,GBR,-1.82936147885694,-1.89257709987739,-0.377589660458923,0.355799998487005,-4.48441825438497,-11.4571077510887,-3.58483634789218,-4.30828619982392,-2.8736128548104,-1.28877099934625,-2.97944449300903,0.962806855481592,4.30086226600881,3.87434713537505,4.83765405836684,5.82930589083658,7.18142370206527,3.25308034488791,3.04647746464006,5.16720634836742,6.4269097034631,4.75674011554985,6.985708939083,4.2008392797521,5.12241541661596,-3.71388968516106,1.74475922401825,6.52493255959209,5.82612598805441,3.89558515205972,4.94007778507734,3.35276851534879,1.87229360848,1.28051509830497,1.60543979164839,1.73498971863596,1.51610423583348,3.44659213990367,1.32675740896323,-1.33576903136853,-0.817511776035438,-1.92821635664364,-1.03179878401941,-1.62209771601829,-1.0787978449774
Real interest rate (%),FR.INR.RINR,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75202764781328,3.94314737872022
Real interest rate (%),FR.INR.RINR,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0468971030039,-3.58511111025937,12.5579601438018,17.5429289286094,11.3640937418183,-1.24150600982001,7.17438724753763,9.78449593859924,14.3516893380043
Real interest rate (%),FR.INR.RINR,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.50195315750933,1.00030915479637,1.00058436844588,0.996284184948046,1.43757004142406,-25.4690910583275,-63.7871204785824,-42.5735139644764,-8.96318218802839,-10.3859981337813,6.00672099352221,17.6952058443456,..,18.3197049982099,15.2785042512077,15.311595059467,10.9719532137275,8.89419077403408,8.40596001388614,9.62860015652314,9.98704550225854,8.51173734427855,9.19915823851388,9.83773189748568,8.35023474045181,10.5583645007965,10.6295054335739,9.44075587277392,6.43617834102525
Real interest rate (%),FR.INR.RINR,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-7.90216593784418,-4.04920735792248,8.13664537995793,15.1040086059725,-0.095922627849907,-10.3343779975902,1.37540693520959,7.11282850261404,-0.750361449727912,-3.09251853802661,-3.88174750068618,-2.51051997823398,0.844558436606999,-6.18312466469342,16.5976144696892,-6.53956357149489,-7.62022648935877,-0.00226526143978329,7.04435828748252,6.45599979815453
Real interest rate (%),FR.INR.RINR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Real interest rate (%),FR.INR.RINR,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-84.0950001791546,-93.5134588840176,-29.522706549011,4.04755887747496,-72.5785001611618,-60.7813270387997,-5.03293321688837,-41.3294690923792,0.774759816031368,36.7003974568589,19.6820166550523,2.30827389629116,11.9081334304949,-5.77235856598051,34.9396938678722,-4.76194124374164,-8.39804755510652,8.91040000919163,12.1812486049924,11.8181537125047
Real interest rate (%),FR.INR.RINR,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,-0.52910193200317,5.88738325715409,6.98537641817362,2.97554351102813,3.29752086095243,1.20271016771027,-2.96910023103746,5.25109660545683,8.36685996382998,9.25544256949174,9.49084094132999,10.1255605432011,9.22740608527823,9.36234713805886,8.55672723148799,9.21909774793213,9.26602195402914,9.86245684952877,10.4751903679494,9.36728251413515,9.98619298727225,13.365375754855,9.39508535611004,6.4153000424977,9.66489579668665,5.81513271883767,5.43329381929374,8.85744858342285,9.24335140853374,9.6701441061203,7.41717719114798,12.5264773364625,8.14993534146254
Real interest rate (%),FR.INR.RINR,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
