"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Age dependency ratio (% of working-age population)","SP.POP.DPND","75.988581594573","79.0425163322499","80.9256263211586","81.7520667878334","81.9830955256447","81.8584981007435","81.3720146605331","80.5835507646749","79.541476304022","78.2010736040721","76.51698051323","74.4778298337747","72.1392167471562","69.6032388141969","66.9488044257098","64.275574092735","61.8149893459853","59.8247584516544","58.2484612726029","56.8419974689271","55.6549481077707","54.8073566537288","54.2728147962453","54.054508049934","54.0877702111514","54.2115957465929","54.3557514827273","54.5646327968531","54.8419655474463","54.6633485910906","54.7782354435487","55.6070325851032","58.0371569902749","61.4842213799892","63.7380996295148","64.6941692969785","64.5626640928773","64.1123326604617","61.8430046181047","58.1037949459291","54.813388611356","52.4889483731996","51.0703531395798","50.0136226039065","48.9919306433595","47.8193074702708","46.4862231466127","45.1305540220802","44.0261431322025","43.2941291937252","42.9172236658305","42.8588952887091","43.1066653605776","43.5955735295585","44.220347328995","45.0074829961521","45.9130890185114","46.8188831337656","47.4127303230816","47.8107543362811","48.1754870679756","48.4759951441955","48.7601980797249","48.7129653645231","49.1198808417762","",
"American Samoa","ASM","Age dependency ratio (% of working-age population)","SP.POP.DPND","107.492528084098","105.427435387674","103.477596254896","102.209334438001","101.555693839452","101.341935483871","101.233950308488","101.075616659927","100.665883274579","99.8106060606061","98.1959518920505","96.0341758632965","93.9517805182209","92.0702465383316","90.249044669917","88.2285128730626","85.9998758303843","83.6733465727869","81.3492063492064","78.9977349943375","77.2011374822268","76.1130630866852","75.2283907238229","74.4049622541713","73.628653083802","72.9226551098925","72.3272310240836","71.8416860678838","71.4021850192565","70.9837306091563","71.0367083501412","71.5893209102312","72.1416786604416","72.5930768701397","72.958288336933","73.2514240296728","73.4291193966778","73.4367023991832","73.219596180936","72.7465372685114","72.1969834635653","71.6757439894081","71.1209740298686","70.518691448924","69.803652012791","68.9081145584726","67.8297112235784","66.6211360869436","65.4113952179195","64.3520985023383","63.0731980984439","61.5414042728503","60.3372175141243","59.578051591171","59.0853640393942","58.6831917894547","58.2654266759565","57.8470671032098","57.4556926788531","57.1339154383","56.3403292698253","55.1793707836832","54.2501595405233","53.9939725849833","53.9689856122214","",
"Antigua and Barbuda","ATG","Age dependency ratio (% of working-age population)","SP.POP.DPND","78.3265450113851","78.3564668769716","78.7616137681611","79.3964266979356","81.6279427604247","85.0469019995063","88.0442166368184","90.8313788421183","93.2584615384615","95.1174024703436","94.4698933156531","91.6646926447945","88.7204649668507","85.6083770841747","82.3427270139482","78.9482536300947","75.6964536661982","72.8335588633288","70.245912534893","67.9900679560899","65.9413020551997","63.9121948746546","62.0597358415049","60.4759786476868","59.6348784568448","59.8693166349033","60.5390014236831","61.14863162139","61.8123553498309","62.5927542557835","63.3241829388305","62.9067077872012","61.4094884839979","60.0673597891346","59.0174854288093","58.1267537045196","57.375714963941","56.6389629858248","55.781683626272","54.8429814604616","54.1272323265575","53.4690419028789","52.5567394145839","51.5419787917113","50.4654318863849","49.2426514697061","48.0901725183266","47.099596716117","46.2576513962144","45.5499645518839","44.7352796485097","43.8770748616759","43.0773266872172","42.3716756931533","41.8515085655842","41.382691060896","41.0194517155441","40.8522629964658","40.6810867681644","40.6075902613192","40.7838869387943","41.0892979909862","41.4482905722469","41.7566725911073","42.0142359533545","",
"Australia","AUS","Age dependency ratio (% of working-age population)","SP.POP.DPND","63.2222379817799","63.2465399843496","62.9147980702587","62.5192110323087","62.1427527039159","61.6947564213605","61.2036688189545","60.6213469159721","59.9961629698613","59.5133042654818","59.1444095229612","58.7879631433217","58.4387607797154","57.9794312669632","57.3649924069642","56.6920349957976","55.9692902880469","55.2251952209624","54.5477873716232","53.9751887134935","53.5227205162343","53.1270550791218","52.7001715938254","52.2039480254237","51.6528322662871","51.0763595144409","50.5057401022417","50.0137894953746","49.6764812795347","49.4876259242506","49.4681242875355","49.6170680136445","49.811919085308","49.9860771260875","50.0950366169999","50.109195672058","50.0490001668879","49.9340260684314","49.7980120889248","49.6367192474489","49.4598371499961","49.286835461901","49.0739278664306","48.8445617344122","48.6497650677502","48.4752997933678","48.3296763998251","48.2183232721235","48.1253903251165","48.1482571709664","48.3638611109409","48.7682383229883","49.3289726898378","49.9243673123919","50.4910608998852","51.0633010294012","51.6034455745862","52.0424214921712","52.4455151692804","52.9197584315896","53.6061246381616","54.2558157593525","54.5847718434653","54.8330501591457","55.211692188952","",
"Austria","AUT","Age dependency ratio (% of working-age population)","SP.POP.DPND","52.1229971572206","53.4733521856902","54.4818799915066","55.3032605016409","56.3857995011277","57.5516861278075","58.697427074508","59.8295064804957","60.89409729756","61.832378498313","62.4252704446403","62.666125637827","62.592277375343","62.2429436831327","61.9031913667403","61.5360809383067","60.7218576755347","59.6311060491015","58.471015453968","57.2297462222411","55.7948257381617","54.0227333129563","52.1419397397284","50.2778046063219","48.8302310604152","48.1062333955257","47.8156085814275","47.7625962533165","47.8903835884214","48.0160355911332","48.0917909291909","48.2285247680827","48.4171903074154","48.6512460320535","48.9373545320685","49.1627810262895","49.1944566289136","49.0458626050382","48.814859865565","48.4964969480677","48.1071501989905","47.6678889861432","47.2188927886777","46.8524301443133","46.9768541067","47.5504023020352","48.0318641277387","48.2157973934847","48.2132469576325","48.254000464131","48.1046425720335","47.8895152059342","48.0162294769948","48.309248026685","48.5645070083682","48.7326907012931","48.9558627535325","49.3109345699699","49.6838960625127","50.0670998710729","50.5184076844052","51.1110949880295","51.8277987141945","52.5940837665189","53.4552149204625","",
"Azerbaijan","AZE","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.8006975134221","87.0610543019314","91.3350556540963","94.4315383437986","96.6722665695544","98.1780949447507","99.0686185593861","99.2733451280719","98.7643952055545","97.6243939013685","95.899705774516","93.656204316416","90.9297015215023","87.7916138272382","84.3745499069739","80.8091048931491","76.8238689282748","72.6342354093862","68.4335679393564","65.2719107167454","63.3775460032238","61.7779065802403","60.6307134625797","59.8920423029028","59.3446824533431","58.8947368671808","58.5393297104292","58.2885083097812","58.4666498837617","59.5157643696168","60.7608042252363","61.6403223780662","62.2755975821056","62.8456271137093","63.0401091319686","62.7881655671631","62.1572070772658","61.1585362468694","59.776051037878","57.9315133943277","55.931513815901","53.8473400300442","51.7884755585068","49.8064583738137","48.0296012903785","46.4150522686018","44.8703115705014","43.3860991042067","41.8635190360907","40.3857954835192","39.274311233566","38.7078975091925","38.81041962457","39.5493100261129","40.4458230491559","41.3385630702997","42.2694499411257","42.9697743409433","43.1245500256305","43.2140002863056","43.4171493479948","43.4555527993272","43.5216840131791","43.5853062725148","43.6108909062656","",
"Burundi","BDI","Age dependency ratio (% of working-age population)","SP.POP.DPND","93.4407048310176","93.6425747166004","93.9474277451636","94.8695386856429","94.9211997188119","94.4184713722694","93.6911749038605","93.0308217475696","92.727917499065","92.8297878397319","92.9995123668576","92.8879259779068","95.1574395947861","97.1880442200082","96.3396415662683","96.0557109335625","96.3078147420451","96.1619806565125","95.7445772480486","96.2525310483828","94.5854218046167","93.5845119298315","95.0319124116784","96.1580416373971","97.5923364191354","99.3056429869467","101.293448346635","102.464042654979","103.653893746593","105.204185760269","106.303555537503","107.055190449086","106.508077507411","115.542047998445","116.025869324072","106.905811273288","108.880860090737","110.135451613272","107.673689139362","104.675875834493","102.683867443087","100.486259710613","98.4196517721056","96.4236779759572","94.2244022756485","92.7130065629574","91.9058450723641","91.4102334997001","90.6439922277766","89.8539543509212","90.0088940874077","91.008769559132","92.1563928504512","93.3838719525298","94.622070654264","97.1104592056118","99.9434296067735","101.067653404408","100.4896672849","98.9997673122223","97.5964620984537","96.0054320138089","94.079560239112","91.846666183644","89.5041466801602","",
"Belgium","BEL","Age dependency ratio (% of working-age population)","SP.POP.DPND","55.4561638056652","56.1205759358107","56.5456513342473","56.8585701776277","57.2885808155528","57.7915048026895","58.2519745356652","58.6136252228514","58.7426256419634","58.7513063284723","58.7159875197644","58.6240134335383","58.4466602675271","58.0877550195765","57.506967595443","56.7898264108637","56.0010067219665","55.2803996516033","54.6107858386783","53.8951234894706","53.0616151415347","52.0028757106214","50.7909472534053","49.5505602121245","48.648779911707","48.28697642404","48.2146442664461","48.2764137604475","48.5089877092706","48.8733043387595","49.3650466113017","49.9079902741352","50.3450623087789","50.6682864290023","50.9276612379211","51.2189562339941","51.525845200322","51.8219915446386","52.0877806515219","52.2922497210349","52.4658001418577","52.5494560740193","52.5280654232509","52.4831390432658","52.4646246048715","52.3334222062245","51.9611319103656","51.562632608567","51.4173676865474","51.4944379968229","51.6473697242393","52.0418059511966","52.6045148789969","53.1602786566966","53.7527116455187","54.2185860669473","54.6532925416515","55.1767824380792","55.6547268372572","56.0563384873172","56.3096171847589","56.5798437606637","56.9781655092647","57.321807211007","57.6148666582755","",
"Benin","BEN","Age dependency ratio (% of working-age population)","SP.POP.DPND","82.27261043188","83.1067056745276","84.1377657532571","85.2079804858161","86.3720420191293","87.625100430704","88.8433273479291","90.0255307890733","91.1594230279372","92.247202106227","93.2794851357282","94.2431608644491","95.1242999648386","95.899500809313","96.5513532723566","97.0828885906777","97.4530418211629","97.6758155514128","97.8095906880739","97.9219513712156","98.0866307391616","98.3067618545331","98.5415308337692","98.7367910647405","98.893779342723","99.0178944593968","99.1012927858987","99.1504103498172","99.1763240684827","99.128666261799","99.0034902521248","98.8392926241274","98.6215606190886","96.4993400063239","95.6095155345189","96.8770749203547","97.0615837296028","96.6363688769587","95.9996893792232","95.2999618202775","94.5561020344605","93.796458949283","93.0421170627939","92.329888698524","91.7058736179667","90.9728456484841","90.4640703836321","90.2147219975119","89.8184844413472","89.2022244846513","88.5466956692596","88.0623986546347","87.6622199954373","87.3352984395774","87.0172121898555","86.6908725796141","86.3703118821361","85.9975863127993","85.5069960528249","84.8779371019408","84.1388233696318","83.3042640253888","82.425708214612","81.5677814531873","80.7358613009806","",
"Burkina Faso","BFA","Age dependency ratio (% of working-age population)","SP.POP.DPND","73.8969461732004","74.0477625592742","74.3978883686932","75.2602867901537","76.5381009557223","77.814866398147","79.0465359452995","80.2458574248929","81.401405107693","82.5142252549422","83.5668475950938","84.6139988408257","85.6554249522772","86.6691000463205","87.6491250582422","88.6098711116429","89.5467695507653","90.4172528901434","91.3197084131226","92.2838062841082","93.2161746601218","94.1314970749518","95.0258840758997","95.8205950136237","96.5883981254401","97.4360012172028","98.3804056591902","99.3528483019281","100.219453711907","100.926437268301","101.479283237569","102.022280306948","102.440740623165","102.509824226555","102.279586976963","101.888790450271","101.487948190692","101.019619695697","100.223296350024","99.139693892403","97.9986202992008","96.8442325845301","95.7119730986067","94.71290093904","93.8640845179637","93.1659483550468","92.7395482180547","92.6493876136664","92.833215335669","93.111611158682","93.3703597802034","93.5370109902721","93.528565666474","93.380718437297","93.0770765719936","92.6016404511831","91.9492118557294","91.1388757797584","90.1476828833865","88.9000632341781","87.320571617249","85.5143844798844","83.6984976476855","81.8908186351026","80.0303169928442","",
